247,Rivals,
School:  Miami Year:  2012 Name:  Gabe Terry Position:  OLB City:  West Palm Beach State:  FL Height:  74 Weight:  200 Stars:  3,School:  North Carolina State Year:  2012 Name:  Desmond Owino Position:  DE City:  Raleigh State:  NC Height:  77 Weight:  235 Stars:  3,
School:  None Year:  2012 Name:  Jared Johnson Position:  PRO City:  Grand Prairie State:  TX Height:  73 Weight:  200 Stars:  3,School:  North Carolina State Year:  2012 Name:  Bryce Kennedy Position:  OL City:  Southern Pines State:  NC Height:  75 Weight:  285 Stars:  3,
School:  Nevada Year:  2012 Name:  Randy Uzoma Position:  WR City:  Canoga Park State:  CA Height:  74 Weight:  195 Stars:  3,School:  North Carolina State Year:  2012 Name:  Jarnor Jones Position:  DB City:  Lithonia State:  GA Height:  76 Weight:  190 Stars:  3,
School:  North Carolina Year:  2012 Name:  Kanler Coker Position:  PRO City:  Flowery Branch State:  GA Height:  76 Weight:  215 Stars:  3,School:  North Carolina State Year:  2012 Name:  Quincy McKinney Position:  OL City:  Fork Union State:  VA Height:  75 Weight:  315 Stars:  3,
School:  None Year:  2012 Name:  Connor Grooms Position:  OC City:  Tyler State:  TX Height:  75 Weight:  280 Stars:  3,School:  North Carolina State Year:  2012 Name:  John Tuuta Position:  OL City:  Fredericksburg State:  VA Height:  75 Weight:  310 Stars:  2,
School:  None Year:  2012 Name:  Ewing Simmons Position:  WDE City:  Stockton State:  CA Height:  76 Weight:  235 Stars:  3,School:  North Carolina State Year:  2012 Name:  Shadrach Thornton Position:  RB City:  Hinesville State:  GA Height:  73 Weight:  207 Stars:  3,
School:  UMass Year:  2012 Name:  Tajae Sharpe Position:  WR City:  Piscataway State:  NJ Height:  76 Weight:  182 Stars:  3,School:  North Carolina State Year:  2012 Name:  Marchez Coates Position:  DB City:  Pomfret State:  MD Height:  71 Weight:  172 Stars:  3,
School:  Louisiana Tech Year:  2012 Name:  Jaydrick DeClouet Position:  WR City:  Patterson State:  LA Height:  70 Weight:  175 Stars:  3,School:  North Carolina State Year:  2012 Name:  Tyler Knox Position:  DE City:  Myrtle Beach State:  SC Height:  76 Weight:  225 Stars:  3,
School:  UCLA Year:  2012 Name:  Carl Hulick Position:  OC City:  Placentia State:  CA Height:  75 Weight:  290 Stars:  3,School:  North Carolina State Year:  2012 Name:  KHadree Hooker Position:  DT City:  Deep Run State:  NC Height:  74 Weight:  280 Stars:  3,
School:  Purdue Year:  2012 Name:  Cameron Cermin Position:  OT City:  College Station State:  TX Height:  76 Weight:  289 Stars:  3,School:  North Carolina State Year:  2012 Name:  Joe Wright Position:  DE City:  Greenville State:  NC Height:  78 Weight:  220 Stars:  2,
School:  Purdue Year:  2012 Name:  Jason King Position:  OG City:  Little Rock State:  AR Height:  76 Weight:  305 Stars:  3,School:  North Carolina State Year:  2012 Name:  Charlie Hegedus Position:  WR City:  Marietta State:  GA Height:  74 Weight:  194 Stars:  3,
School:  Tennessee Year:  2012 Name:  Cody Blanc Position:  ATH City:  Knoxville State:  TN Height:  74 Weight:  204 Stars:  3,School:  North Carolina State Year:  2012 Name:  Deylan Buntyn Position:  DT City:  Roswell State:  NM Height:  76 Weight:  335 Stars:  3,
School:  Miami (OH) Year:  2012 Name:  Wesley Scott Position:  SDE City:  Ridgeland State:  SC Height:  76 Weight:  248 Stars:  3,School:  North Carolina State Year:  2012 Name:  Manny Stocker Position:  QB City:  Coatesville State:  PA Height:  75 Weight:  197 Stars:  3,
School:  Temple Year:  2012 Name:  Romond Deloatch Position:  WR City:  Hampton State:  VA Height:  77 Weight:  205 Stars:  3,School:  North Carolina State Year:  2012 Name:  David Grinnage Position:  TE City:  Newark State:  DE Height:  77 Weight:  240 Stars:  2,
School:  Penn State Year:  2012 Name:  Steven Bench Position:  PRO City:  Camilla State:  GA Height:  74 Weight:  205 Stars:  3,School:  North Carolina State Year:  2012 Name:  M.J. Salahuddin Position:  DB City:  Fayetteville State:  NC Height:  75 Weight:  190 Stars:  3,
School:  North Carolina Year:  2012 Name:  Kendrick Singleton Position:  WR City:  Glen Saint Mary State:  FL Height:  74 Weight:  195 Stars:  3,School:  North Carolina State Year:  2012 Name:  Eddie Gordon Position:  OL City:  Boiling Springs State:  SC Height:  73 Weight:  322 Stars:  3,
School:  Miami (OH) Year:  2012 Name:  Orlando David Position:  TE City:  Hollywood State:  FL Height:  75 Weight:  220 Stars:  3,School:  North Carolina State Year:  2012 Name:  Xavier Griffin Position:  WR City:  Newark State:  DE Height:  74 Weight:  180 Stars:  2,
School:  Boston College Year:  2012 Name:  Dan Crimmins Position:  WR City:  Hoboken State:  NJ Height:  76 Weight:  200 Stars:  3,School:  North Carolina State Year:  2012 Name:  Niles Clark Position:  DB City:  Marietta State:  GA Height:  70 Weight:  175 Stars:  3,
School:  Penn State Year:  2012 Name:  Malik Golden Position:  ATH City:  Cheshire State:  CT Height:  72 Weight:  185 Stars:  3,School:  North Carolina State Year:  2012 Name:  Josh Sessoms Position:  DB City:  Bailey State:  NC Height:  75 Weight:  186 Stars:  3,
School:  Syracuse Year:  2012 Name:  Josh Parris Position:  TE City:  Stone Mountain State:  GA Height:  74 Weight:  225 Stars:  3,School:  Nebraska Year:  2012 Name:  Vincent Valentine Position:  DT City:  Edwardsville State:  IL Height:  75 Weight:  320 Stars:  3,
School:  Utah Year:  2012 Name:  J.J. Dielman Position:  OG City:  Phoenix State:  AZ Height:  76 Weight:  250 Stars:  3,School:  Nebraska Year:  2012 Name:  Alonzo Moore Position:  ATH City:  Winnfield State:  LA Height:  74 Weight:  170 Stars:  4,
School:  Colorado Year:  2012 Name:  Josh Tupou Position:  DT City:  Buena Park State:  CA Height:  76 Weight:  300 Stars:  3,School:  Nebraska Year:  2012 Name:  Aaron Curry Position:  DT City:  Keller State:  TX Height:  75 Weight:  298 Stars:  3,
School:  Navy Year:  2012 Name:  Ben Tamburello Position:  OC City:  Birmingham State:  AL Height:  74 Weight:  275 Stars:  3,School:  Nebraska Year:  2012 Name:  Imani Cross Position:  RB City:  Gainesville State:  GA Height:  73 Weight:  220 Stars:  3,
School:  Louisville Year:  2012 Name:  T.C. Klusman Position:  OT City:  Cincinnati State:  OH Height:  76 Weight:  270 Stars:  3,School:  Nebraska Year:  2012 Name:  Corey Whitaker Position:  OL City:  Murrieta State:  CA Height:  77 Weight:  270 Stars:  3,
School:  None Year:  2012 Name:  Derrick Moncrief Position:  S City:  Prattville State:  AL Height:  75 Weight:  200 Stars:  3,School:  Nebraska Year:  2012 Name:  LeRoy Alexander Position:  ATH City:  Toledo State:  OH Height:  74 Weight:  190 Stars:  3,
School:  Rutgers Year:  2012 Name:  Carlton Agudosi Position:  WR City:  Somerset State:  NJ Height:  78 Weight:  203 Stars:  3,School:  Nebraska Year:  2012 Name:  Avery Moss Position:  DE City:  Tempe State:  AZ Height:  76 Weight:  245 Stars:  3,
School:  Arizona Year:  2012 Name:  Dwight Melvin Position:  DT City:  Laveen State:  AZ Height:  74 Weight:  265 Stars:  3,School:  Nebraska Year:  2012 Name:  Jared Afalava Position:  LB City:  South Jordan State:  UT Height:  75 Weight:  215 Stars:  3,
School:  Mississippi State Year:  2012 Name:  Cole Carter Position:  OT City:  Caledonia State:  MS Height:  77 Weight:  290 Stars:  3,School:  Nebraska Year:  2012 Name:  Mohammed Seisay Position:  DB City:  Thatcher State:  AZ Height:  74 Weight:  200 Stars:  4,
School:  Buffalo Year:  2012 Name:  Robert Riche Position:  OT City:  Canton State:  MI Height:  78 Weight:  270 Stars:  3,School:  Nebraska Year:  2012 Name:  Thomas Brown Position:  LB City:  Gardena State:  CA Height:  74 Weight:  212 Stars:  3,
School:  Purdue Year:  2012 Name:  Jordan Woods Position:  WR City:  Ann Arbor State:  MI Height:  74 Weight:  173 Stars:  3,School:  Nebraska Year:  2012 Name:  Zaire Anderson Position:  LB City:  Riverside State:  CA Height:  73 Weight:  220 Stars:  4,
School:  Toledo Year:  2012 Name:  Danny Larkins Position:  CB City:  Madison Heights State:  MI Height:  72 Weight:  180 Stars:  3,School:  Nebraska Year:  2012 Name:  Tommy Armstrong Position:  QB City:  Cibolo State:  TX Height:  74 Weight:  210 Stars:  3,
School:  Illinois Year:  2012 Name:  Lakeith Walls Position:  ATH City:  Cleveland State:  OH Height:  76 Weight:  200 Stars:  3,School:  Nebraska Year:  2012 Name:  Paul Thurston Position:  OL City:  Arvada State:  CO Height:  77 Weight:  274 Stars:  4,
School:  Wisconsin Year:  2012 Name:  Reggie Love Position:  WR City:  Boca Raton State:  FL Height:  75 Weight:  200 Stars:  3,School:  Nebraska Year:  2012 Name:  Greg McMullen Position:  DE City:  Akron State:  OH Height:  77 Weight:  255 Stars:  4,
School:  Texas State Year:  2012 Name:  Dede Westbrook Position:  WR City:  Cameron State:  TX Height:  71 Weight:  175 Stars:  3,School:  Nebraska Year:  2012 Name:  Sam Cotton Position:  TE City:  Lincoln State:  NE Height:  76 Weight:  240 Stars:  3,
School:  Cincinnati Year:  2012 Name:  Shakim Alonzo Position:  WR City:  Pittsburgh State:  PA Height:  77 Weight:  205 Stars:  3,School:  Nebraska Year:  2012 Name:  Jordan Westerkamp Position:  WR City:  Lombard State:  IL Height:  74 Weight:  195 Stars:  4,
School:  Utah Year:  2012 Name:  Vaha Vainuku Position:  DT City:  Salt Lake City State:  UT Height:  75 Weight:  295 Stars:  3,School:  Nebraska Year:  2012 Name:  Michael Rose Position:  LB City:  Kansas City State:  MO Height:  72 Weight:  230 Stars:  3,
School:  None Year:  2012 Name:  Casey Lawson Position:  OG City:  Roxboro State:  NC Height:  76 Weight:  290 Stars:  3,School:  Nevada Year:  2012 Name:  Chris Soloman Position:  RB City:  West Covina State:  CA Height:  72 Weight:  185 Stars:  0,
School:  Toledo Year:  2012 Name:  Jaylen Coleman Position:  ILB City:  Pittsburgh State:  PA Height:  73 Weight:  218 Stars:  3,School:  Nevada Year:  2012 Name:  Jerico Richardson Position:  DB City:  Mission Hills State:  CA Height:  73 Weight:  180 Stars:  2,
School:  Arkansas State Year:  2012 Name:  Tevin Bryson Position:  DT City:  Humboldt State:  TN Height:  75 Weight:  285 Stars:  3,School:  Nevada Year:  2012 Name:  Marquis Newell Position:  DB City:  Sarasota State:  FL Height:  72 Weight:  175 Stars:  0,
School:  Illinois Year:  2012 Name:  Jason Robertson Position:  WR City:  Frankfort State:  IL Height:  72 Weight:  183 Stars:  3,School:  Nevada Year:  2012 Name:  Markus Smith Position:  DB City:  Riverside State:  CA Height:  74 Weight:  190 Stars:  2,
School:  Indiana Year:  2012 Name:  Caleb Cornett Position:  WR City:  Indianapolis State:  IN Height:  75 Weight:  175 Stars:  3,School:  Nevada Year:  2012 Name:  Nigel Haikins Position:  DB City:  Pleasant Hill State:  CA Height:  71 Weight:  190 Stars:  0,
School:  Washington State Year:  2012 Name:  Kache Palacio Position:  OLB City:  Gardena State:  CA Height:  74 Weight:  224 Stars:  3,School:  Nevada Year:  2012 Name:  Travis Gardner Position:  WR City:  Chula Vista State:  CA Height:  73 Weight:  185 Stars:  2,
School:  Arizona State Year:  2012 Name:  Milo Jordan Position:  SDE City:  Corona State:  CA Height:  75 Weight:  280 Stars:  3,School:  Nevada Year:  2012 Name:  Nigel Westbrooks Position:  WR City:  San Marcos State:  CA Height:  74 Weight:  190 Stars:  3,
School:  Wake Forest Year:  2012 Name:  Jonathan Williams Position:  WR City:  Atlanta State:  GA Height:  75 Weight:  175 Stars:  3,School:  Nevada Year:  2012 Name:  Aisea Hansen Position:  OL City:  Fontana State:  CA Height:  76 Weight:  315 Stars:  2,
School:  Virginia Year:  2012 Name:  C.J. Moore Position:  CB City:  Buford State:  GA Height:  70 Weight:  160 Stars:  3,School:  Nevada Year:  2012 Name:  Shane Pennix Position:  DE City:  El Cajon State:  CA Height:  75 Weight:  250 Stars:  3,
School:  None Year:  2012 Name:  Alex Dickman Position:  OT City:  Paradise Valley State:  AZ Height:  77 Weight:  330 Stars:  3,School:  Nevada Year:  2012 Name:  Tyler Stewart Position:  QB City:  Chatsworth State:  CA Height:  75 Weight:  205 Stars:  3,
School:  Connecticut Year:  2012 Name:  Tyler Samra Position:  OC City:  Ramsey State:  NJ Height:  76 Weight:  275 Stars:  3,School:  Nevada Year:  2012 Name:  Brian Guendling Position:  DE City:  Poway State:  CA Height:  76 Weight:  215 Stars:  2,
School:  Miami Year:  2012 Name:  Josh Witt Position:  OLB City:  Fort Lauderdale State:  FL Height:  74 Weight:  208 Stars:  3,School:  Nevada Year:  2012 Name:  Hasaan Henderson Position:  QB City:  Las Vegas State:  NV Height:  76 Weight:  210 Stars:  3,
School:  Vanderbilt Year:  2012 Name:  Harding Harper Position:  OLB City:  Montgomery State:  AL Height:  74 Weight:  210 Stars:  3,School:  Nevada Year:  2012 Name:  Abe Abdelkarim Position:  OL City:  Allen State:  TX Height:  78 Weight:  310 Stars:  2,
School:  Rutgers Year:  2012 Name:  Blake Rankin Position:  PRO City:  Bloomsburg State:  PA Height:  76 Weight:  195 Stars:  3,School:  Nevada Year:  2012 Name:  Charles Faraimo Position:  OL City:  Sacramento State:  CA Height:  75 Weight:  270 Stars:  2,
School:  Vanderbilt Year:  2012 Name:  Jakarri Thomas Position:  OLB City:  Tallahassee State:  FL Height:  74 Weight:  200 Stars:  3,School:  Nevada Year:  2012 Name:  Cortez Woods Position:  DT City:  Sacramento State:  CA Height:  75 Weight:  260 Stars:  3,
School:  Idaho Year:  2012 Name:  Ma'ne Manaea Position:  S City:  Lakewood State:  WA Height:  71 Weight:  175 Stars:  3,School:  Nevada Year:  2012 Name:  Alex Bertrando Position:  LB City:  Loomis State:  CA Height:  75 Weight:  215 Stars:  2,
School:  Colorado State Year:  2012 Name:  Jordon Vaden Position:  WR City:  New Raymer State:  CO Height:  75 Weight:  170 Stars:  3,School:  Nevada Year:  2012 Name:  Randy Uzoma Position:  WR City:  Canoga Park State:  CA Height:  74 Weight:  205 Stars:  3,
School:  Illinois Year:  2012 Name:  Mason Monheim Position:  OLB City:  Orrville State:  OH Height:  73 Weight:  215 Stars:  3,School:  Nevada Year:  2012 Name:  Jarred Gipson Position:  WR City:  Houston State:  TX Height:  73 Weight:  215 Stars:  2,
School:  Virginia Year:  2012 Name:  Maurice Canady Position:  ATH City:  Richmond State:  VA Height:  73 Weight:  168 Stars:  3,School:  Nevada Year:  2012 Name:  Cody Tuttle Position:  WR City:  Westlake Village State:  CA Height:  75 Weight:  215 Stars:  3,
School:  McNeese Year:  2012 Name:  Alex Johnson Position:  RB City:  Carencro State:  LA Height:  70 Weight:  185 Stars:  3,School:  Nevada Year:  2012 Name:  Brent Roling Position:  OL City:  San Jacinto State:  CA Height:  79 Weight:  290 Stars:  0,
